Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,492.000000,500.339996,483.010010,489.269989,489.269989,1104800
2021-09-21,494.320007,502.160004,484.890015,488.640015,488.640015,1300900
2021-09-22,487.570007,515.500000,484.291992,510.679993,510.679993,855800
2021-09-23,513.479980,518.340027,504.980011,514.059998,514.059998,547500
2021-09-24,510.070007,512.799988,500.033997,508.040009,508.040009,439300
2021-09-27,499.269989,500.899994,480.779999,483.040009,483.040009,761600
2021-09-28,475.179993,477.549988,460.049988,463.570007,463.570007,794900
2021-09-29,471.049988,476.290009,456.804993,458.489990,458.489990,587500
2021-09-30,460.480011,478.899994,460.480011,471.510010,471.510010,809800
2021-10-01,474.010010,478.200012,458.809998,474.510010,474.510010,566000
2021-10-04,461.000000,463.190002,434.450012,444.970001,444.970001,1271500
2021-10-05,445.440002,457.649994,444.200012,452.679993,452.679993,518700
2021-10-06,445.649994,469.669006,444.000000,466.239990,466.239990,519100
2021-10-07,470.000000,481.679993,468.109985,472.869995,472.869995,485200
2021-10-08,473.440002,474.000000,449.000000,449.000000,449.000000,877000
2021-10-11,447.950012,460.649994,443.000000,454.200012,454.200012,439700
2021-10-12,459.559998,477.660004,457.200012,470.940002,470.940002,532100
2021-10-13,473.940002,494.519989,473.940002,494.019989,494.019989,983800
2021-10-14,499.540009,506.000000,488.359985,489.299988,489.299988,615700
2021-10-15,490.000000,492.885010,482.880005,491.809998,491.809998,390000
2021-10-18,491.894989,504.350006,488.049988,503.959991,503.959991,1106900
2021-10-19,505.500000,515.700012,501.980011,508.010010,508.010010,1648000
2021-10-20,510.970001,517.039978,498.369995,504.500000,504.500000,327000
2021-10-21,502.190002,517.250000,502.190002,509.429993,509.429993,978500
2021-10-22,507.549988,513.239990,497.290009,504.890015,504.890015,541900
2021-10-25,506.690002,525.000000,503.000000,518.869995,518.869995,695000
2021-10-26,518.469971,523.570007,494.329987,501.679993,501.679993,516400
2021-10-27,503.070007,512.989990,495.459991,497.959991,497.959991,326600
2021-10-28,498.489990,506.095001,490.010010,504.619995,504.619995,297600
2021-10-29,504.619995,523.880005,504.250000,521.289978,521.289978,503700
2021-11-01,521.989990,528.799988,496.809998,498.269989,498.269989,656600
2021-11-02,499.250000,519.989990,498.269989,518.359985,518.359985,642100
2021-11-03,518.349976,521.989990,512.330017,521.200012,521.200012,376800
2021-11-04,526.000000,540.820007,521.270020,535.080017,535.080017,741400
2021-11-05,540.539978,557.080017,539.109985,555.580017,555.580017,992900
2021-11-08,559.200012,581.640015,558.250000,571.299988,571.299988,810900
2021-11-09,576.140015,586.825012,563.710022,576.770020,576.770020,574400
2021-11-10,568.330017,576.760010,543.195007,554.960022,554.960022,601000
